Sector,Beta,Alpha,R_squared,SE_beta,SE_alpha,N_weeks
BSE 250 Microcap3csv.csv,2.165887088672696,-0.006334867041437667,0.81493684076439,0.5160643121188936,0.011819243581218374,6
BSE Auto3.csv,1.1879159099759884,0.0013784336519441507,0.5718870626584209,0.09626253923174286,0.001570347579366939,116
BSE CAP&Goods3.csv,1.269060672209796,0.002424771738893138,0.4768526472481407,0.1244944173635773,0.0020308991276548885,116
BSE Consumer Discretionary3.csv,1.1212669602193805,0.0008052456175491537,0.6530591778026638,0.07654344992606399,0.0012486666388304957,116
BSE Consumer Durables3.csv,1.0695960570601393,9.157239359987432e-05,0.49102705103163646,0.10199103732366842,0.001663797567117699,116
BSE Energy3.csv,1.1524171549148867,-0.000948336788506979,0.44353772068857933,0.12089542710768614,0.0019721881723693845,116
BSE FMCG3.csv,0.7259459959367897,-0.00021146349322804375,0.43850371661873266,0.07693761016856526,0.001255096643561666,116
BSE Healthcare3.csv,0.8277891125182967,0.003049141380639914,0.3937101814548585,0.0962097528514334,0.0015694864659452064,116
BSE IT3.csv,0.9515623952080596,-4.640097678869056e-05,0.33211444524806577,0.12638396832211504,0.0020617237017572483,116
BSE Metal3.csv,1.187215657122037,0.00065596205530263,0.413913607594524,0.13231319505946307,0.0021584482108842826,116
BSE Midcap3.csv,1.1192894010794283,0.0015358601923911846,0.6284799814036807,0.0806000573964176,0.001314842783490214,116
BSE OIL &GAS3.csv,1.1964491534789201,-0.001038542493143453,0.39696605476934477,0.1381134631935694,0.002253068995841403,116
BSE Power&energy3.csv,1.4247161078133792,-0.004286808581340397,0.6153415389493826,0.234878867719852,0.004628067418604975,25
BSE Realty3.csv,1.6408132725037523,0.002008938139829635,0.46757031498464696,0.1639888799993642,0.00267517917982761,116
BSE Services3.csv,1.3173114778737296,0.0001872798369348277,0.4972124950232023,0.12406728295137172,0.0020239312095465096,116
BSE Smallcap3.csv,1.1826133171505024,0.001321205206347363,0.4850910655128996,0.11411531027288711,0.0018615829447873478,116
BSE Utilities3.csv,1.2638518819252815,0.0006961260577297533,0.29324490309393725,0.1837650817834479,0.0029977918061779786,116
BSE bankex3.csv,1.022542619763361,-0.0007415043156586321,0.6918971191468224,0.06390813019167103,0.0010425444658877692,116
BSE cap markets & insurance3.csv,1.3005387929231305,-0.0021033909828631144,0.5926222026977213,0.2298908516828069,0.004622418981069906,24
BSE finserv3.csv,1.05029050390198,-0.0002884895022202969,0.7747360830224993,0.05304273842587595,0.0008652954363643159,116
BSE industreis3.csv,1.2774833950078843,0.002456488816896559,0.4817431708672475,0.124098796986913,0.0020244453035006406,116
BSE largecap3.csv,1.0283997551963264,-0.0003500485155741497,0.9630382178963656,0.0188696666921567,0.0003078241614025283,116
