"Date","Price","Open","High","Low","Vol.","Change %"
"25-02-2026","25,482.50","25,512.60","25,651.60","25,428.45","414.21M","0.23%"
"24-02-2026","25,424.65","25,641.80","25,641.80","25,327.60","439.07M","-1.12%"
"23-02-2026","25,713.00","25,678.40","25,771.45","25,609.35","313.68M","0.55%"
"20-02-2026","25,571.25","25,406.55","25,663.55","25,379.75","296.58M","0.46%"
"19-02-2026","25,454.35","25,873.35","25,885.30","25,388.75","298.23M","-1.41%"
"18-02-2026","25,819.35","25,752.65","25,828.05","25,645.15","310.23M","0.37%"
"17-02-2026","25,725.40","25,637.95","25,764.40","25,570.30","344.12M","0.17%"
"16-02-2026","25,682.75","25,423.60","25,697.00","25,372.70","275.77M","0.83%"
"13-02-2026","25,471.10","25,571.15","25,630.35","25,444.30","453.52M","-1.30%"
"12-02-2026","25,807.20","25,906.70","25,906.70","25,752.40","419.39M","-0.57%"
"11-02-2026","25,953.85","25,997.45","26,009.40","25,899.80","331.39M","0.07%"
"10-02-2026","25,935.15","25,922.65","25,989.45","25,870.45","460.88M","0.26%"
"09-02-2026","25,867.30","25,888.70","25,922.25","25,780.90","359.39M","0.68%"
"06-02-2026","25,693.70","25,605.80","25,703.95","25,491.90","375.48M","0.20%"
"05-02-2026","25,642.80","25,755.90","25,757.65","25,579.50","343.81M","-0.52%"
"04-02-2026","25,776.00","25,675.05","25,818.55","25,563.95","429.79M","0.19%"
"03-02-2026","25,727.55","26,308.05","26,341.20","25,641.30","637.26M","2.55%"
"02-02-2026","25,088.40","24,796.50","25,108.10","24,679.40","449.22M","1.06%"
"01-02-2026","24,825.45","25,333.75","25,440.90","24,571.75","379.37M","-1.96%"
"30-01-2026","25,320.65","25,247.55","25,370.70","25,213.65","508.39M","-0.39%"
"29-01-2026","25,418.90","25,345.00","25,458.15","25,159.80","582.39M","0.30%"
"28-01-2026","25,342.75","25,258.85","25,372.10","25,187.65","574.90M","0.66%"
"27-01-2026","25,175.40","25,063.35","25,246.65","24,932.55","618.70M","0.51%"
