Quarterly Estimates of Gross Domestic Product (At Constant Prices) New Series (Base : 2011-12),,,,,,,,,,,,
,,,,,,,,,,,,
(Rupees Crores),,,,,,,,,,,,
,,,,,,,,,,,,
Item/ Year,Quarter,1. PFCE,2. GFCE,3. GFCF,4. Change in Stock,5. Valuables,6. Export of goods & services,7. Import of goods & services,8. Discrepancies,9. Gross Domestic Product,Log GDP-Q,difference
1,2,3,4,5,6,7,8,9,10,11,,12
2012-13   ,Q1,-0.925723889,12.07721158,9.575512693,-7.516219675,16.42402344,5.111640499,5.267624659,-236.5970952,4.867679535,1.582617342,
2012-13   ,Q2,8.663755328,11.28015063,5.425786326,3.153697366,-1.298699581,28.60115817,16.35570979,107.1866627,7.493168845,2.013991785,2.63
2012-13   ,Q3,8.888559834,-13.94447945,2.283709204,-2.027571346,-0.530725647,-4.49552067,3.097129182,180.1154867,5.376391669,1.682017456,-2.12
2012-13   ,Q4,5.461191093,-5.945787363,3.004169,-5.356863008,-2.613953745,-0.031844145,0.379343977,-443.3223771,4.296010406,1.457686779,-1.08
2013-14   ,Q1,7.853837215,18.94829744,2.858887804,-34.42464066,-46.80084804,3.294763038,-3.00363296,-54.93580502,6.447098628,1.863630204,2.15
2013-14   ,Q2,6.060947139,-2.330405027,1.620764876,-36.42258965,-41.55868603,-1.099747119,-8.164760845,-69.59898962,7.337748749,1.993032086,0.89
2013-14   ,Q3,6.957726306,3.032117615,2.370827098,-34.96803626,-46.1776747,16.12190775,-14.06066529,-103.018433,6.534982613,1.877169687,-0.8
2013-14   ,Q4,8.281857414,-13.67648239,-0.399365807,-36.49690511,-36.3614712,14.37528527,-6.919665829,-118.0234245,5.342980138,1.675783576,-1.19
2014-15   ,Q1,7.248982622,2.345142686,2.933630147,116.2730866,32.37568352,13.11118245,0.888627706,-818.5016342,8.023963019,2.082432442,2.68
2014-15   ,Q2,8.743905287,10.06281542,4.602341954,114.5599953,19.82193066,-2.869415345,-0.420868559,3.820233918,8.70410917,2.163795233,0.68
2014-15   ,Q3,2.129180413,28.9556711,0.769205591,102.8265547,24.17397769,3.502275512,7.605122188,-1248.481762,5.922736184,1.778798535,-2.78
2014-15   ,Q4,7.828455264,-7.200098671,2.159495656,113.0343132,28.22481784,-4.744521759,-4.182334048,-486.1318372,7.112079905,1.961794733,1.19
2015-16   ,Q1,7.110523164,4.767093171,3.677202401,-14.83283948,-15.56645933,-6.429650369,-5.77542327,-149.0647535,7.592561095,2.027168965,0.48
2015-16   ,Q2,7.101196046,9.011532385,3.53205937,-13.9458279,7.235736284,-4.741558549,-3.629083569,-182.9190325,8.033802022,2.083657893,0.44
2015-16   ,Q3,8.565364865,8.265091385,10.23368432,-10.90654326,13.11437992,-8.870076216,-9.743117534,-131.004145,7.197417601,1.973722295,-0.84
2015-16   ,Q4,8.795006566,7.789464009,8.639647403,-11.4841714,-5.378921327,-2.513086299,-4.158062957,136.8195322,9.088685813,2.207030323,1.89
2016-17   ,Q1,6.963404084,2.429373355,13.74509474,-47.90404013,-15.40295231,3.546470899,0.408200628,111.9553334,8.679785952,2.160996868,-0.41
2016-17   ,Q2,9.604418498,2.341089102,8.240071747,-48.94234052,-23.23677696,2.457074479,-0.105277195,255.7472307,9.669812594,2.269008929,0.99
2016-17   ,Q3,11.21022925,6.223044538,6.666821128,-48.64869348,-21.55434043,6.875598536,10.61758522,-412.4771865,8.575508671,2.148910312,-1.09
2016-17   ,Q4,4.931984885,15.83954155,5.591091906,-49.63505893,-13.94048186,7.028186094,6.982168048,138.9934738,6.28932466,1.838853698,-2.29
2017-18   ,Q1,8.597519881,21.53475369,1.067750576,56.52754204,97.51807113,3.948630191,21.73478695,59.0721747,6.112753448,1.810377318,-0.18
2017-18   ,Q2,4.853666318,7.338751691,6.412783413,70.21635042,37.10605622,4.654169818,10.56970995,2.988405915,5.317939559,1.671085927,-0.79
2017-18   ,Q3,4.155148761,10.4258864,9.265495905,72.58981443,21.96973814,4.506831514,14.09341284,144.5217501,6.668677787,1.897421608,1.35
2017-18   ,Q4,7.489158111,8.7031693,14.21162382,73.82653835,11.38437062,5.1031481,23.56981813,85.12758587,8.932909215,2.189742122,2.26
2018-19   ,Q1,6.305079225,6.615128974,14.36151197,33.29000493,-32.99213441,9.13521942,5.259280786,-63.03143235,7.499660631,2.01485777,-1.43
2018-19   ,Q2,8.585921343,8.066302344,12.8674122,27.24119799,-1.131307174,12.13192929,18.09670661,-57.43439911,6.457181176,1.865192872,-1.04
2018-19   ,Q3,7.471325802,3.530054715,12.84924452,26.64798102,1.932617744,15.17863787,12.10749614,-110.4392484,6.233478045,1.829934451,-0.22
2018-19   ,Q4,6.087084745,8.54761053,5.577559743,22.83503818,4.139324047,11.24283775,0.765987271,-50.64768887,5.720942784,1.744133614,-0.51
2019-20   ,Q1,7.176440372,-1.94191618,8.190245256,-57.40980623,-5.515623882,2.779083166,9.191684627,175.2677528,5.095368273,1.628331945,-0.63
2019-20   ,Q2,6.148506155,5.617265531,-0.786107923,-58.94919459,-12.32677162,-1.740504324,-2.213204782,128.9497225,4.298371249,1.458236172,-0.8
2019-20   ,Q3,5.981613722,4.893643247,-1.728168701,-58.9094039,-16.36685877,-5.089829094,-7.087674219,-181.326765,3.255643068,1.180389819,-1.04
2019-20   ,Q4,1.632060009,8.047224572,-0.813544133,-59.43645352,-22.08137877,-8.775031093,-2.614660964,178.9647512,2.944913061,1.080079296,-0.31
