Date,Open,Log Open,Change %
01/02/26,"25,333.75",10.13989278,0.99%
01/01/26,"26,173.30",10.17249509,-3.10%
01/12/25,"26,325.80",10.17830473,-0.28%
01/11/25,"25,696.85",10.1541237,1.87%
01/10/25,"24,620.55",10.11133674,4.51%
01/09/25,"24,432.70",10.10367768,0.75%
01/08/25,"24,734.90",10.11597048,-1.38%
01/07/25,"25,551.35",10.14844543,-2.93%
01/06/25,"24,669.70",10.11333105,3.10%
01/05/25,"24,311.90",10.09872122,1.71%
01/04/25,"23,341.10",10.05797103,3.46%
01/03/25,"22,194.55",10.00760204,6.30%
01/02/25,"23,528.60",10.06597198,-5.89%
01/01/25,"23,637.65",10.07059606,-0.58%
01/12/24,"24,140.85",10.09166071,-2.02%
01/11/24,"24,302.75",10.09834479,-0.31%
01/10/24,"25,788.45",10.157682,-6.22%
01/09/24,"25,333.60",10.13988686,2.28%
01/08/24,"25,030.95",10.12786834,1.14%
01/07/24,"23,992.95",10.08551532,3.92%
01/06/24,"23,337.90",10.05783393,6.57%
01/05/24,"22,567.85",10.02428161,-0.33%
01/04/24,"22,455.00",10.01926859,1.24%
01/03/24,"22,048.30",10.00099078,1.57%
01/02/24,"21,780.65",9.98877724,1.18%
01/01/24,"21,727.75",9.986345524,-0.03%
01/12/23,"20,194.10",9.913145762,7.94%
01/11/23,"19,064.05",9.855559642,5.52%
01/10/23,"19,622.40",9.88442705,-2.84%
01/09/23,"19,258.15",9.865689627,2.00%
01/08/23,"19,784.00",9.892628809,-2.53%
01/07/23,"19,246.50",9.865084505,2.94%
01/06/23,"18,579.40",9.829808719,3.53%
01/05/23,"18,124.80",9.805036445,2.60%
01/04/23,"17,427.95",9.765830518,4.06%
01/03/23,"17,360.10",9.761929749,0.32%
01/02/23,"17,811.60",9.787605209,-2.03%
01/01/23,"18,131.70",9.805417067,-2.45%
01/12/22,"18,871.95",9.845431972,-3.48%
01/11/22,"18,130.70",9.805361913,4.14%
01/10/22,"17,102.10",9.746956542,5.37%
01/09/22,"17,485.70",9.769138683,-3.74%
01/08/22,"17,243.20",9.755173142,3.50%
01/07/22,"15,703.70",9.661651632,8.73%
01/06/22,"16,594.40",9.716820568,-4.85%
01/05/22,"16,924.45",9.736514601,-3.03%
01/04/22,"17,436.90",9.766343929,-2.07%
01/03/22,"16,593.10",9.716742225,3.99%
01/02/22,"17,529.45",9.771637603,-3.15%
01/01/22,"17,387.15",9.763486707,-0.08%
01/12/21,"17,104.40",9.747091019,2.18%
01/11/21,"17,783.15",9.786006659,-3.90%
01/10/21,"17,531.90",9.771777358,0.30%
01/09/21,"17,185.60",9.751827103,2.84%
01/08/21,"15,874.90",9.672494525,8.69%
01/07/21,"15,755.05",9.664916228,0.26%
01/06/21,"15,629.65",9.65692503,0.89%
01/05/21,"14,481.05",9.580596177,6.50%
01/04/21,"14,798.40",9.602274346,-0.41%
01/03/21,"14,702.50",9.595772826,1.11%
01/02/21,"13,758.60",9.529419362,6.56%
01/01/21,"13,996.10",9.546533998,-2.48%
01/12/20,"13,062.20",9.477477842,7.81%
01/11/20,"11,697.35",9.367117599,11.39%
01/10/20,"11,364.45",9.338245341,3.51%
01/09/20,"11,464.30",9.346993138,-1.23%
01/08/20,"11,057.55",9.310868732,2.84%
01/07/20,"10,323.80",9.242207188,7.49%
01/06/20,"9,726.85",9.182645382,7.53%
01/05/20,"9,533.50",9.162567191,-2.84%
01/04/20,"8,584.10",9.057666934,14.68%
01/03/20,"11,387.35",9.340258369,-23.25%
01/02/20,"11,939.00",9.387565631,-6.36%
01/01/20,"12,202.15",9.409367445,-1.70%
01/12/19,"12,137.05",9.404018037,0.93%
01/11/19,"11,886.60",9.383166994,1.50%
01/10/19,"11,515.40",9.351440549,3.51%
01/09/19,"10,960.95",9.302094236,4.09%
01/08/19,"11,060.20",9.311108358,-0.85%
01/07/19,"11,839.90",9.379230463,-5.69%
01/06/19,"11,953.75",9.388800316,-1.12%
01/05/19,"11,725.55",9.369525501,1.49%
01/04/19,"11,665.20",9.36436533,1.07%
01/03/19,"10,842.65",9.29124271,7.70%
01/02/19,"10,851.35",9.292044775,-0.36%
01/01/19,"10,881.70",9.294837758,-0.29%
01/12/18,"10,930.70",9.299330623,-0.13%
01/11/18,"10,441.70",9.253562683,4.72%
01/10/18,"10,930.90",9.29934892,-4.98%
01/09/18,"11,751.80",9.371761699,-6.42%
01/08/18,"11,359.80",9.337836087,2.85%
01/07/18,"10,732.35",9.281017824,5.99%
01/06/18,"10,738.45",9.281586037,-0.20%
01/05/18,"10,783.85",9.285804924,-0.03%
01/04/18,"10,151.65",9.225391533,6.19%
01/03/18,"10,479.95",9.257219187,-3.61%
01/02/18,"11,044.55",9.309692373,-4.85%
01/01/18,"10,531.70",9.262145036,4.72%
01/12/17,"10,263.70",9.236368678,2.97%
