period,original
2016Q1,1.956026
2016Q2,7.510830333
2016Q3,4.487828667
2016Q4,3.862609
2017Q1,3.036516667
2017Q2,1.905822
2017Q3,3.311421333
2017Q4,5.894557333
2018Q1,6.561041333
2018Q2,5.119800667
2018Q3,5.329303667
2018Q4,3.724478667
2019Q1,1.484256667
2019Q2,2.969774333
2019Q3,-0.384475333
2019Q4,-1.375502
2020Q1,-3.766666667
2020Q2,-35.775999
2020Q3,-5.533333333
2020Q4,1.7
2021Q1,6.8
2021Q2,20.7
2021Q3,9.633333333
2021Q4,2.066666667
2022Q1,2.8
2022Q2,13
2022Q3,1.601774333
2022Q4,2.866666667
2023Q1,4.58297491
2023Q2,4.652944634
2023Q3,7.60945352
2023Q4,6.249197944
2024Q1,5.092522168
2024Q2,5.457441975
2024Q3,4.104040094
2024Q4,3.968354209
2025Q1,3.883507
2025Q2,1.772976792
2025Q3,4.071840219
2025Q4,3.608471
